Dataset,Reranker,Type,Val Loss,Recall@5
OKVQA,monoPreFLMR-B,Full Corpus,3.062,0.2836
OKVQA,monoBLIP-2 OPT,Full Corpus,1.78,0.4307
OKVQA,ModPreFLMR IB,Full Corpus,3.458,0.2519
EVQA,monoBLIP-2 Flan-T5,Full Corpus,2.244,0.3394
EVQA,ModPreFLMR BERT,Full Corpus,4.686,0.1759
OKVQA,monoPreFLMR-B,Raw Retrieval,0.1018,0.3259
OKVQA,monoBLIP-2 OPT,Raw Retrieval,0.08,0.4134
OKVQA,ModPreFLMR IB,Raw Retrieval,0.1148,0.2769
EVQA,monoBLIP-2 Flan-T5,Raw Retrieval,0.0476,0.3634
EVQA,ModPreFLMR BERT,Raw Retrieval,0.0479,0.1192
